"7900
PLN",Volkswagen Fox,Do negocjacji,2006,112 000 km,1 200 cm3,Benzyna
"153750
PLN",BMW Seria 6 F12/F13/F14,"Mo¿liwoœæ odliczenia VAT, Faktura VAT",2013,70 000 km,4 395 cm3,Benzyna
"25900
PLN",BMW Seria 3 E90/E91/E92/E93,Do negocjacji,2008,252 000 km,1 995 cm3,Benzyna
"104456
PLN",Škoda Superb III,Faktura VAT,2018,27 200 km,2 000 cm3,Diesel
"12999
PLN",Mitsubishi Colt Z30,,2007,131 000 km,1 300 cm3,Benzyna
"56900
PLN",Ford Mondeo Mk5,Do negocjacji,2016,189 000 km,1 997 cm3,Diesel
"28500
PLN",Jaguar XJ X350,Do negocjacji,2004,180 000 km,,Benzyna+LPG
"17900
PLN",Infiniti I35,Do negocjacji,2002,249 314 km,3 500 cm3,Benzyna+LPG
"34900
PLN",Citroën DS4,Faktura VAT,2012,133 000 km,1 598 cm3,Benzyna
"9500
PLN",Volkswagen Golf V,Do negocjacji,2006,300 000 km,1 900 cm3,Diesel
"9900
PLN",Audi A4 B6,Do negocjacji,2004,287 000 km,1 896 cm3,Diesel
"149900
PLN",BMW Seria 4,"Mo¿liwoœæ odliczenia VAT, Do negocjacji, Faktura VAT",2017,146 700 km,3 000 cm3,Diesel
"84870
PLN",Audi Q5 8R,"Mo¿liwoœæ odliczenia VAT, Do negocjacji, Faktura VAT",2013,110 633 km,2 995 cm3,Benzyna
"2460
PLN",Hyundai Getz,"Mo¿liwoœæ odliczenia VAT, Do negocjacji, Faktura VAT",2008,284 155 km,,Benzyna+LPG
"120000
PLN",Mercedes-Benz Klasa E W212,,2015,73 000 km,3 000 cm3,Benzyna
"26900
PLN",Renault Grand Scenic III,Do negocjacji,2010,177 900 km,2 000 cm3,Benzyna
"11900
PLN",Volkswagen Passat B6,Do negocjacji,2005,259 000 km,2 000 cm3,Diesel
"39000
PLN",Audi A6 C6,Do negocjacji,2011,225 000 km,2 967 cm3,Diesel
"74800
PLN",Audi Q3,"Do negocjacji, Faktura VAT",2013,131 800 km,2 000 cm3,Diesel
"45900
PLN",BMW Seria 3 F30/F31,Do negocjacji,2012,193 000 km,1 998 cm3,Diesel
"65900
PLN",Škoda Superb III,Do negocjacji,2016,57 500 km,,Benzyna
"18900
PLN",Alfa Romeo 159,,2009,188 000 km,1 900 cm3,Diesel
"15700
PLN",Volvo V50,Do negocjacji,2010,234 000 km,1 600 cm3,Diesel
"15900
PLN",Toyota iQ,,2009,150 000 km,998 cm3,Benzyna
"89700
PLN",Audi A4 B9,"Mo¿liwoœæ odliczenia VAT, Do negocjacji, Faktura VAT",2016,143 500 km,2 000 cm3,Diesel
"18900
PLN",Kia Picanto II,Do negocjacji,2013,118 000 km,1 000 cm3,Benzyna
"44900
PLN",Mini Cooper S,Do negocjacji,2012,107 200 km,1 600 cm3,Benzyna
"32000
PLN",Renault Kangoo II,Do negocjacji,2017,3 600 km,1 500 cm3,Diesel
"23900
PLN",Ford Transit VI,,2008,155 000 km,2 198 cm3,Diesel
"11900
PLN",Opel Meriva I,Do negocjacji,2006,153 000 km,1 700 cm3,Diesel
"219555
PLN",Volvo V90,"Mo¿liwoœæ odliczenia VAT, Do negocjacji, Faktura VAT",2019,5 900 km,1 969 cm3,Diesel
"18100
PLN",BMW Seria 1 E81/E82/E87/E88,Do negocjacji,2007,168 500 km,1 995 cm3,Benzyna
"8999
PLN",Renault Megane II,,2005,170 000 km,1 390 cm3,Benzyna
"8500
PLN",Fiat Croma II,,2008,190 000 km,1 910 cm3,Diesel
"21200
PLN",Seat Ibiza IV,Do negocjacji,2011,56 700 km,1 197 cm3,Benzyna
"32900
PLN",Seat Leon III,,2015,52 000 km,1 600 cm3,Diesel
"8950
PLN",Ford Focus Mk2,Do negocjacji,2006,242 000 km,2 000 cm3,Diesel
"6300
PLN",Opel Vectra C,Do negocjacji,2003,220 km,1 800 cm3,Benzyna
"20900
PLN",BMW Seria 3 E90/E91/E92/E93,,2008,211 660 km,1 998 cm3,Benzyna
"44999
PLN",Ford Kuga I,,2012,88 000 km,2 000 cm3,Diesel
"22700
PLN",Ford Mondeo Mk4,Do negocjacji,2011,237 000 km,2 000 cm3,Diesel
"97047
PLN",Škoda Superb III,"Mo¿liwoœæ odliczenia VAT, Faktura VAT",2016,121 000 km,1 968 cm3,Diesel
"36900
PLN",Opel Insignia A,Do negocjacji,2014,169 000 km,2 000 cm3,Diesel
"61400
PLN",BMW Seria 3 F30/F31,Do negocjacji,2014,65 700 km,1 997 cm3,Benzyna
"35500
PLN",Opel Insignia A,Do negocjacji,2014,148 000 km,2 000 cm3,Diesel
"27900
PLN",Volvo S80 II,Do negocjacji,2008,214 279 km,2 400 cm3,Diesel
"27900
PLN",Mazda 3 II,Do negocjacji,2010,149 000 km,2 000 cm3,Benzyna
"36900
PLN",Nissan Armada,Do negocjacji,2006,197 000 km,5 600 cm3,Benzyna
"23500
PLN",Audi A3 8P,Do negocjacji,2009,135 900 km,1 390 cm3,Benzyna
"68900
PLN",Volkswagen Golf Sportsvan,"Do negocjacji, Faktura VAT",2015,74 100 km,1 395 cm3,Benzyna
"89999,99
PLN",Ford Mondeo Mk5,Faktura VAT,2017,7 800 km,1 996 cm3,Hybryda
"68900
PLN",Volkswagen Golf Sportsvan,Do negocjacji,2015,92 300 km,1 395 cm3,Benzyna
"17900
PLN",Volkswagen Golf Plus,Do negocjacji,2007,101 000 km,1 400 cm3,Benzyna
"15900
PLN",Saab 9-5,Do negocjacji,2006,309 500 km,1 900 cm3,Diesel
"25500
PLN",Opel Corsa E,Do negocjacji,2015,60 000 km,1 400 cm3,Benzyna
"48888
PLN",Mercedes-Benz Klasa C W204,,2013,127 500 km,1 595 cm3,Benzyna
"66900
PLN",Volvo V60,,2014,88 000 km,2 000 cm3,Diesel
"16500
PLN",Škoda Fabia II,Do negocjacji,2011,38 000 km,1 200 cm3,Benzyna
"524471
PLN",Porsche 718 Boxster,Faktura VAT,2020,6 km,4 000 cm3,Benzyna
"11900
PLN",Škoda Fabia II,,2011,198 000 km,1 200 cm3,Benzyna
"23500
PLN",Škoda Octavia II,Do negocjacji,2011,73 000 km,1 400 cm3,Benzyna
"35900
PLN",Citroën C4 Aircross,,2014,168 000 km,1 600 cm3,Benzyna
"11900
PLN",Peugeot 308 T7,Do negocjacji,2009,167 521 km,1 598 cm3,Diesel
"9600
PLN",Volkswagen Passat B5,Do negocjacji,2003,242 259 km,1 896 cm3,Diesel
"35900
PLN",Mitsubishi Outlander II,,2012,198 000 km,1 998 cm3,Benzyna+LPG
"147600
PLN",Volvo XC 90 II,"Mo¿liwoœæ odliczenia VAT, Do negocjacji, Faktura VAT",2019,30 000 km,1 969 cm3,Benzyna
"36900
PLN",Suzuki Swift V,"Do negocjacji, Faktura VAT",2014,94 500 km,1 586 cm3,Benzyna
"18900
PLN",Opel Insignia A,,2010,165 000 km,1 956 cm3,Diesel
"7999
PLN",Volkswagen Polo IV,,2004,92 314 km,1 400 cm3,Benzyna
"10900
PLN",Dacia Sandero I,,2008,176 000 km,1 400 cm3,Benzyna
